Student
1, Londyn, Mills
2, Nina, Munoz
3, Raegan, McDowell
4, Yareli, Warren
5, Rosa, Mills
6, Meadow, Cuevas
7, Ramona, Vang
8, Londyn, Mills
9, Teresa, Zamora
10, Bailee, Barrera
11, Victoria, Hodges
12, Rosa, Barnes
13, Charleigh, Bernard
14, Rosa, Barnes
15, Khaleesi, Hubbard
16, Brielle, Smith
17, Khloe, Parra
18, Zoe, Zamora
19, Hank , Barnes
20, Flora, Evans
21, Zoe, Meza
22, Skye, Vaughn
23, Zoe, Cole
24, Wren, Castaneda
25, Braelyn, Trejo
26, DSH, FH
27, dgf, dfg
Teacher
-1, Teacher, No
1, Jason, Tully
2, Sarah, Bauguss
3, Bryan, Johnson
4, Annette, Prewitt
5, Nicole, Sadefur
6, asdfsdf, sdf
7, srjt, gjd
8, sdg, dfg
Courses
1, Compuer Science Into, 0
2, Compuer Science I, 0
3, Compuer Science AP A, 2
4, Compuer Science AP Principles, 2
5, Compuer Science 2, 1
6, Compuer Science Game Development, 1
7, Compuer Science Data Structures, 1
8, Compuer Science AWS, 1
9, Compuer Science Independent Study, 1
Section
1, 7, 1
2, 6, 1
3, 9, 1
4, 7, 2
5, 3, 2
6, 3, 2
7, 1, 3
8, 5, 3
9, 8, 3
10, 4, 4
11, 4, 4
12, 2, 4
13, 4, 5
14, 4, 5
15, 3, 5
Enrollment
10, 1
1, 1
6, 1
9, 1
2, 1
14, 2
5, 2
1, 2
6, 2
6, 3
7, 3
3, 3
11, 3
3, 4
8, 4
1, 5
7, 5
6, 5
14, 6
1, 6
15, 7
3, 7
14, 7
7, 7
2, 8
13, 8
1, 8
5, 8
2, 9
4, 9
3, 9
8, 9
9, 10
4, 10
13, 10
2, 10
3, 10
12, 11
6, 11
3, 11
2, 11
5, 12
7, 13
9, 13
15, 14
6, 14
1, 14
11, 14
11, 15
6, 15
8, 15
13, 15
7, 16
14, 16
10, 16
13, 17
1, 17
8, 18
12, 18
14, 18
10, 18
10, 19
4, 19
1, 19
11, 19
9, 20
5, 20
13, 20
7, 20
14, 20
7, 21
5, 21
1, 22
3, 22
8, 22
14, 22
6, 22
6, 23
14, 24
9, 24
5, 24
8, 24
10, 24
10, 25
6, 25
8, 25
2, 25
